Date,Open,High,Low,Close,Adj Close,Volume
3/10/2016,827,832,801,806.650024,764.696472,908545
3/11/2016,822.799988,848.799988,812,820.549988,777.873596,1791899
3/14/2016,825,830,796.650024,804.650024,762.800476,792050
3/15/2016,804,816.900024,795.099976,800.099976,758.487061,682452
3/16/2016,801,807.900024,797,801.849976,760.146057,500720
3/17/2016,810,817,803,806.900024,764.933472,548774
3/18/2016,805,812.5,792,808.799988,766.734558,661700
3/21/2016,813.75,860,813,848.950012,804.796387,1511048
3/22/2016,845,856.549988,836.700012,843.650024,799.772095,524063
3/23/2016,842.599976,922.650024,838,898.5,851.769348,2741028
3/28/2016,890,927.849976,874,880.599976,834.800293,1924647
3/29/2016,878,906.900024,870,889.799988,843.521851,799558
3/30/2016,897,906.799988,885,891,844.659424,438894
3/31/2016,891,900.5,870.099976,873.200012,827.785278,503834
4/1/2016,873,912,862,908.549988,861.296692,1133534
4/4/2016,918.599976,974,906.849976,967.049988,916.754089,2042054
4/5/2016,963.900024,986.650024,952.650024,973.450012,922.821228,2433073
4/6/2016,978.700012,998.75,969,993.549988,941.875854,1402312
4/7/2016,992,1015.950012,978.400024,990.75,939.221497,1267425
4/8/2016,989.950012,1007.5,951,954.299988,904.667236,1145554
4/11/2016,961,994,956.549988,985.700012,934.434143,783292
4/12/2016,991,1021.5,989.049988,1004.049988,951.829773,940548
4/13/2016,1005,1037.75,1002.25,1030.900024,977.283325,1165031
4/18/2016,1041.699951,1063,1036.949951,1053.550049,998.755249,622498
4/20/2016,1058.800049,1064,1015,1019.25,966.239197,808311
4/21/2016,1023,1033,995,1001.049988,948.985718,700396
4/22/2016,1002.900024,1017,995.150024,1001.450012,949.36499,470384
4/25/2016,1002,1022.5,1002,1015,962.210266,492061
4/26/2016,1021.799988,1034.449951,1015.549988,1030,976.430115,542855
4/27/2016,1033,1054.400024,1023,1047.699951,993.209412,677301
4/28/2016,1051,1069,1051,1063.900024,1008.567017,793589
4/29/2016,1074,1080,1041.699951,1075.949951,1019.990295,967499
5/2/2016,1023.099976,1043.75,1002,1025.300049,971.974548,1249412
5/3/2016,1031.849976,1064.449951,1031.849976,1059.199951,1004.11145,887436
5/4/2016,1054,1072.5,1041.699951,1067.599976,1012.074463,542612
5/5/2016,1072.800049,1095,1055.099976,1088.400024,1031.792725,616887
5/6/2016,1088.199951,1088.199951,1066.25,1075.5,1019.563599,258882
5/9/2016,1073,1084,1046.5,1077.449951,1021.412292,543566
5/10/2016,1075.699951,1092,1071.300049,1076.099976,1020.132385,576959
5/11/2016,1058,1074.800049,1050.699951,1060.75,1005.58075,287334
5/12/2016,1065,1065.099976,1040,1045,990.649902,270503
5/13/2016,1043,1056.300049,1035.099976,1042.599976,988.374817,275624
5/16/2016,1044,1048.75,1022.049988,1030.5,976.904053,331833
5/17/2016,1041,1060,1033.599976,1049.949951,995.342529,650530
5/18/2016,1045.449951,1045.449951,1020,1025.599976,972.258911,312255
5/19/2016,1030,1035.449951,1004,1008.400024,955.953552,240274
5/20/2016,1010,1012.5,956,962.5,912.440796,404476
5/23/2016,974,997.849976,964.150024,992.200012,940.596069,372105
5/24/2016,991,996.200012,975.950012,980.299988,929.315002,281858
5/25/2016,989,994.5,970,985.299988,934.054871,398977
5/26/2016,986,998,975,993.900024,942.207703,460731
5/27/2016,996.049988,1039.900024,996.049988,1030.150024,976.572327,714190
5/30/2016,1038,1069.400024,1020.099976,1060.75,1005.58075,494962
5/31/2016,1058,1069,1043,1064.300049,1008.946106,235020
6/1/2016,1051.699951,1056,1013.950012,1023.950012,970.694763,407488
6/2/2016,1019,1034,1005.5,1012.950012,960.266907,173993
6/3/2016,1016.900024,1018.599976,990.099976,992.700012,941.070129,190957
6/6/2016,994,1029,991.25,1019.799988,966.76062,285232
6/7/2016,1023,1023,998.150024,1007.049988,954.673706,160922
6/8/2016,1005,1008,990.099976,992.5,940.880432,220461
6/9/2016,990.049988,1013.200012,990,1004.599976,952.351135,453064
6/10/2016,1009.900024,1017.900024,990,998.299988,946.378784,291713
6/13/2016,988,988,975,980.099976,929.125305,175622
6/14/2016,984.950012,994.950012,978.200012,990.349976,938.842224,161763
6/15/2016,996.549988,1033,995,1011.400024,958.797485,726978
6/16/2016,1009,1023.799988,995,1012.799988,960.124695,272166
6/17/2016,1014.950012,1021,1006,1013.450012,960.740906,151801
6/20/2016,1009,1089,991,1071.699951,1015.961304,1517137
6/21/2016,1084,1089.849976,1033,1039.349976,985.293823,1038570
6/22/2016,1040,1041.300049,1015.950012,1025.300049,971.974548,364809
6/23/2016,1029.949951,1029.949951,999.150024,1006.549988,954.199646,220567
6/24/2016,975,1009.950012,961,1004.5,952.256348,394163
6/27/2016,1014.5,1024.949951,1010.25,1017.650024,964.722412,161964
6/28/2016,1023.049988,1042,1015,1019.950012,966.902771,265778
6/29/2016,1019.900024,1030,1012,1018.200012,965.243835,181521
6/30/2016,1020,1024.949951,1010.049988,1015.349976,962.542053,221332
7/1/2016,1013,1025.5,1005.049988,1012.400024,959.745544,404063
7/4/2016,1014.950012,1054,1013.049988,1044.650024,990.318176,389989
7/5/2016,1048.800049,1049.900024,856.599976,1017.25,964.343201,667380
7/7/2016,1020,1033,1010,1013,960.31427,260124
7/8/2016,1014.950012,1027.949951,1001,1013.900024,961.16748,300703
7/11/2016,1025,1028.550049,1003,1008.700012,956.237854,295623
7/12/2016,1014.950012,1025,1005.099976,1012.549988,959.887695,187568
7/13/2016,1015.299988,1024,992.599976,998.849976,946.900146,184937
7/14/2016,1000,1009.599976,985.049988,991.700012,940.122131,200105
7/15/2016,992,994.950012,965.049988,970.299988,919.835083,259938
7/18/2016,967,978.5,941.25,950.299988,900.875244,491029
7/19/2016,949.700012,954.450012,938.200012,947.099976,897.841675,182043
7/20/2016,951,955,930.5,951.400024,901.918091,199032
7/21/2016,952,954.650024,942,946.549988,897.320313,115831
7/22/2016,949,975.900024,943.599976,953.950012,904.33551,324224
7/25/2016,953,968.900024,946,956.5,906.752808,307986
7/26/2016,955,957.799988,939.299988,942.5,893.480896,415932
